predictor,term,odds_ratio,conf_low,conf_high,p.value
parent_warm,parent_warmOne,1.0431818181818486,0.6151924275746206,1.7689234408744234,0.8753210645498128
parent_warm,parent_warmBoth,0.592134831461105,0.3530225871297121,0.993204603366188,0.04705110788443106
parent_cold,parent_coldOne,1.3927178153445336,0.9499744692063228,2.041805307461141,0.08968169291325956
parent_cold,parent_coldBoth,1.8691099476438164,1.0393468755325717,3.3613147627840125,0.036717677048276734
parent_situ,parent_situOne died/sep/div,0.9226396296079327,0.5133125523211579,1.6583734067552345,0.7878203952004365
raised_by,raised_byOne,0.9278627524634862,0.47934985247829787,1.7960353653140935,0.8241636555221532
raised_by,raised_byNon-parents,1.8477265158731369,0.7269843544581376,4.696240375083997,0.1970381571520463
depression4,depression41,1.194338016174811,0.7540357108972514,1.891745014547139,0.44914054712405277
depression4,depression42,1.9747930774980142,1.2304255410604064,3.169478825653394,0.004816406304282705
depression4,depression43,2.935135135129321,1.6716948812819765,5.153463325115883,1.77457232012479e-4
hostility3,hostility31,1.4954996538149334,1.0005147669582266,2.235368520706666,0.04970319543644934
hostility3,hostility32,2.0571428571364594,1.2593899255227832,3.3602275585227384,0.003961500266094267
authority4,authority41,1.7035527080467727,0.9906442040168045,2.929499629964286,0.05410247234731372
authority4,authority42,1.9918462432547235,1.1131222847809719,3.5642548092087005,0.02028798200732218
authority4,authority43,2.058823529212099,0.9011540928856294,4.7036953589859865,0.08669474364228502
urgency4,urgency415-25,1.726141078436662,0.6202222963253796,4.804024364037616,0.2958807505218012
urgency4,urgency426-29,1.8949843255780336,0.6592181240802776,5.447310173998097,0.23541971851598184
urgency4,urgency430+,1.8224299061181657,0.6327517451198352,5.248900201902822,0.26613497410175446
jobstress,jobstressHi frus & low satis,2.4324747231582298,1.0940422802674494,5.40832231580415,0.0292225078438037
